Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Employee_No,Net Salary,Marital_Status
1,1,107,1,2,1991.0,4.86027397260274,1,1.0,0.0,537,647656.925,0
1,5,27,0,2,1994.0,4.7095890410958905,0,1.0,0.0,538,199939.65,0
1,1,43,0,2,1993.0,4.704109589041096,0,1.0,0.0,539,98368.64,0
0,1,88,0,2,1995.0,3.252054794520548,0,1.0,0.0,540,437693.3175,0
0,1,111,0,2,1994.0,3.197260273972603,0,1.0,0.0,541,69883.33499999999,0
1,1,89,1,2,1990.0,3.6986301369863015,0,1.0,0.0,545,915807.45,0
1,1,97,0,3,1978.0,3.5753424657534247,0,1.0,0.0,546,209833.1275,1
1,1,101,0,2,2001.0,0.4849315068493151,0,1.0,0.0,549,54032.6,0
1,1,24,0,2,1973.0,3.334246575342466,0,1.0,0.0,550,574004.845,1
0,1,175,1,2,1984.0,3.219178082191781,0,1.0,0.0,551,376809.135,0
1,1,17,0,2,1996.0,3.1890410958904107,0,1.0,0.0,553,35477.77,0
1,1,78,0,2,1992.0,4.457534246575342,0,1.0,0.0,554,182660.83,0
1,1,193,0,3,1993.142857142857,3.717808219178082,0,1.0,0.0,556,360903.73,1
1,1,127,1,3,1972.0,4.16986301369863,0,1.0,0.0,557,195698.75,1
1,1,110,1,3,1981.7142857142856,4.16986301369863,0,1.0,0.0,558,472584.1925,1
1,1,79,0,2,1995.0,4.041095890410959,0,1.0,0.0,560,321411.2675,0
0,1,84,0,2,1992.0,3.947945205479452,0,1.0,0.0,561,517222.9125,1
1,1,88,0,2,1998.0,1.7397260273972603,0,1.0,0.0,562,443650.365,0
1,1,88,0,2,1997.0,3.813698630136986,0,1.0,0.0,563,437693.3175,0
1,1,113,0,2,1995.0,2.347945205479452,0,1.0,0.0,565,76350.0,0
1,1,45,0,3,1966.0,2.3013698630136985,1,1.0,0.0,569,77526.67499999999,1
1,4,98,0,2,1985.0,3.558904109589041,0,1.0,0.0,570,157519.465,0
0,1,84,0,2,1990.0,1.5698630136986302,0,1.0,0.0,572,517222.9125,1
1,1,24,0,2,1992.0,1.736986301369863,0,1.0,0.0,573,624051.4175,0
0,1,104,0,2,1983.0,3.16986301369863,0,1.0,0.0,574,243710.1425,1
0,1,143,0,2,1999.0,2.419178082191781,0,1.0,0.0,576,329390.58,0
1,1,22,1,2,1965.0,23.49041095890411,1,0.0,1.0,582,793546.4450000001,1
1,1,7,1,2,1981.0,19.27123287671233,0,0.0,1.0,583,647293.365,1
1,1,36,1,2,1988.0,3.3972602739726026,1,1.0,0.0,584,625509.375,1
1,1,8,0,2,1990.0,3.410958904109589,0,1.0,0.0,585,607169.2325,1
1,1,22,0,2,1985.142857142857,3.421917808219178,0,1.0,0.0,586,454493.7475,1
1,1,36,0,2,1961.0,3.421917808219178,0,1.0,0.0,589,227085.9225,1
1,5,22,0,2,1984.2857142857144,3.421917808219178,0,1.0,0.0,590,199330.095,0
1,1,22,0,2,1995.0,3.421917808219178,0,1.0,0.0,591,506715.6825,0
1,1,22,0,2,1991.0,3.3835616438356166,0,1.0,0.0,592,298460.815,0
1,1,22,0,2,1992.0,3.419178082191781,0,1.0,0.0,594,298460.815,0
1,1,27,0,2,1993.0,3.421917808219178,0,1.0,0.0,595,120001.25,1
1,1,22,1,2,1991.0,3.364383561643836,1,1.0,0.0,596,283605.25,0
0,1,157,1,2,1988.0,3.0876712328767124,0,1.0,0.0,597,609787.5,0
1,1,22,0,2,1961.0,2.96986301369863,0,1.0,0.0,599,140001.6125,1
0,1,48,0,2,1996.0,1.832876712328767,1,1.0,0.0,601,89472.91,0
1,3,22,0,2,1993.0,2.989041095890411,0,1.0,0.0,603,469693.0425,0
1,1,33,0,2,1981.0,1.5452054794520549,1,1.0,0.0,604,79375.0,1
1,1,6,0,2,1984.0,3.084931506849315,1,1.0,0.0,605,679860.245,1
1,1,7,1,2,1996.0,3.0794520547945203,0,1.0,0.0,606,380507.815,1
0,1,89,0,2,1993.0,1.4136986301369865,0,1.0,0.0,607,175563.0375,0
1,3,22,0,2,1994.0,1.2602739726027397,0,1.0,0.0,608,241625.02,0
0,1,84,0,2,1986.0,3.0191780821917806,0,1.0,0.0,609,276970.605,1
