Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Marital_Status
1,3,31,0,1,1960.0,2.1397260273972605,0,1.0,0.0,Married
1,4,31,1,1,1966.0,3.506849315068493,0,1.0,0.0,Married
1,4,1,0,1,1992.0,3.506849315068493,0,1.0,0.0,Married
1,1,30,0,1,1975.0,1.0383561643835617,0,1.0,0.0,Married
1,3,122,0,1,1981.0,3.506849315068493,0,1.0,0.0,Married
1,3,31,0,1,1998.0,2.0575342465753423,0,1.0,0.0,Single
1,3,30,0,1,1998.0,3.208219178082192,0,1.0,0.0,Single
1,3,31,0,1,1972.0,0.8712328767123287,0,1.0,0.0,Married
1,3,31,0,1,1975.0,2.884931506849315,0,1.0,0.0,Married
1,4,31,1,1,1996.0,2.8904109589041096,0,1.0,0.0,Single
1,3,30,0,1,1974.7142857142856,3.3232876712328765,0,1.0,0.0,Married
1,3,31,1,1,1981.0,2.5863013698630137,0,1.0,0.0,Married
1,3,122,0,1,1982.142857142857,2.238356164383561,0,1.0,0.0,Married
1,3,122,0,1,1982.142857142857,2.3863013698630136,0,1.0,0.0,Single
1,1,55,0,1,1970.0,3.1232876712328768,0,1.0,0.0,Married
1,1,31,0,1,1996.0,2.96986301369863,0,1.0,0.0,Single
1,1,31,0,1,1994.0,2.5616438356164384,0,1.0,0.0,Married
1,1,31,0,1,1997.0,2.863013698630137,0,1.0,0.0,Married
1,4,31,0,1,1978.142857142857,4.002739726027397,0,1.0,0.0,Married
1,3,31,0,1,1996.4285714285716,3.0,0,1.0,0.0,Single
1,1,1,0,1,1983.0,1.295890410958904,0,1.0,0.0,Married
1,1,30,0,1,1989.4285714285716,3.421917808219178,0,1.0,0.0,Single
1,4,122,1,1,1973.0,3.336986301369863,0,1.0,0.0,Married
1,3,30,0,1,1982.0,3.326027397260274,0,1.0,0.0,Married
1,4,38,0,1,1987.0,1.5753424657534247,0,1.0,0.0,Married
1,3,31,0,1,1996.4285714285716,3.0876712328767124,0,1.0,0.0,Single
1,3,122,0,1,1949.0,2.852054794520548,0,1.0,0.0,Married
1,3,122,0,1,1995.0,2.673972602739726,0,1.0,0.0,Single
1,1,30,0,1,1966.0,2.9753424657534246,0,1.0,0.0,Single
1,1,1,0,1,1966.0,2.9726027397260277,0,1.0,0.0,Married
1,1,30,0,1,1972.857142857143,2.9342465753424656,0,1.0,0.0,Married
1,3,122,0,1,1986.0,1.2328767123287672,0,1.0,0.0,Single
1,4,122,0,1,1982.142857142857,2.4273972602739726,0,1.0,0.0,Single
1,3,122,0,1,1982.142857142857,2.9178082191780823,0,1.0,0.0,Married
1,3,122,0,1,1983.142857142857,1.8027397260273967,0,1.0,0.0,Single
1,3,30,0,1,1974.7142857142856,2.884931506849315,0,1.0,0.0,Married
1,3,38,0,1,1992.2857142857144,1.8767123287671232,0,1.0,0.0,Single
0,1,134,1,1,1959.4285714285716,2.5863013698630137,0,1.0,0.0,Married
1,1,31,0,1,1970.0,3.2739726027397262,0,1.0,0.0,Married
1,1,31,0,1,1989.0,1.841095890410959,0,1.0,0.0,Married
1,1,31,0,1,1992.0,1.2136986301369863,0,1.0,0.0,Single
1,1,31,0,1,1984.0,2.512328767123288,0,1.0,0.0,Married
1,1,29,0,1,1979.0,1.5506849315068494,0,1.0,0.0,Married
1,1,135,1,1,1963.0,3.241095890410959,0,1.0,0.0,Married
1,1,135,0,1,1960.0,2.5397260273972604,0,1.0,0.0,Married
1,1,31,0,1,1971.0,1.021917808219178,0,1.0,0.0,Married
1,1,31,0,1,1977.0,2.5863013698630137,0,1.0,0.0,Married
1,1,31,0,1,1999.0,1.0356164383561643,0,1.0,0.0,Married
1,1,31,0,1,1980.0,2.1397260273972605,0,1.0,0.0,Married
1,1,31,0,1,1976.0,2.9287671232876717,0,1.0,0.0,Married
1,1,31,0,1,1963.0,2.9287671232876717,0,1.0,0.0,Married
1,1,31,0,1,1986.0,1.7589041095890412,0,1.0,0.0,Married
1,1,31,0,1,1980.0,2.126027397260274,0,1.0,0.0,Married
1,1,31,0,1,1982.0,1.0027397260273974,0,1.0,0.0,Married
1,1,31,0,1,1968.0,1.0054794520547945,0,1.0,0.0,Married
1,1,31,0,1,1971.0,2.9287671232876717,0,1.0,0.0,Married
1,1,31,0,1,1983.0,2.16986301369863,0,1.0,0.0,Married
1,1,31,0,1,1986.0,2.9287671232876717,0,1.0,0.0,Married
1,1,31,0,1,1989.0,2.1095890410958904,0,1.0,0.0,Married
1,1,31,0,1,1975.0,2.06027397260274,0,1.0,0.0,Married
1,1,31,0,1,1985.0,2.032876712328767,0,1.0,0.0,Married
1,1,134,0,1,1959.4285714285716,1.1506849315068493,0,1.0,0.0,Married
1,1,30,1,1,1984.0,2.5863013698630137,0,1.0,0.0,Married
1,1,31,0,1,1981.0,0.6027397260273972,0,1.0,0.0,Married
1,1,31,0,1,1984.0,1.4136986301369865,0,1.0,0.0,Married
