,Employee_No,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Net Salary,Marital_Status
112,540,0,1,88,0,2,0.81666666666667,0.09724725544814027,0,1.0,0.0,0.2087249609637394,0
113,541,0,1,111,0,2,0.8000000000000043,0.09560871702441423,0,1.0,0.0,0.03321333118949008,0
114,545,1,1,89,1,2,0.7333333333333343,0.11060134360150746,0,1.0,0.0,0.43687154372587633,0
115,546,1,1,97,0,3,0.5333333333333385,0.10691463214812388,0,1.0,0.0,0.09999459688894133,1
116,549,1,1,101,0,2,0.9166666666666714,0.014501065049975424,0,1.0,0.0,0.025649674776304678,0
117,550,1,1,24,0,2,0.45000000000000284,0.09970506308372933,0,1.0,0.0,0.2737701187539916,1
118,551,0,1,175,1,2,0.6333333333333329,0.09626413239390465,0,1.0,0.0,0.17967223644164781,0
119,553,1,1,17,0,2,0.8333333333333357,0.09536293626085532,0,1.0,0.0,0.016795677852814068,0
120,554,1,1,78,0,2,0.7666666666666728,0.13329510077011306,0,1.0,0.0,0.08702851536358264,0
121,556,1,1,193,0,3,0.7857142857142847,0.11117483204981157,0,1.0,0.0,0.17208249258859867,1
122,557,1,1,127,1,3,0.4333333333333371,0.12469277404555137,0,1.0,0.0,0.09324995223844038,1
123,558,1,1,110,1,3,0.595238095238102,0.12469277404555137,0,1.0,0.0,0.22537419460845054,1
124,560,1,1,79,0,2,0.81666666666667,0.12084220874979518,0,1.0,0.0,0.15323747264090481,0
125,561,0,1,84,0,2,0.7666666666666728,0.11805669342946093,0,1.0,0.0,0.24667490658202068,1
126,562,1,1,88,0,2,0.8666666666666671,0.05202359495330166,0,1.0,0.0,0.21156754589920299,0
127,563,1,1,88,0,2,0.8500000000000014,0.11404227429133214,0,1.0,0.0,0.2087249609637394,0
128,565,1,1,113,0,2,0.81666666666667,0.07021137145666066,0,1.0,0.0,0.03629909548995764,0
129,569,1,1,45,0,3,0.3333333333333357,0.06881861379649352,1,1.0,0.0,0.0368605814658436,1
130,570,1,4,98,0,2,0.6500000000000057,0.10642307062100606,0,1.0,0.0,0.07503155455271265,0
