,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
0,1,1,24,1,2,1965.0,29.084931506849315,0,1.0,0.0,0.0,1.0
1,1,1,24,1,2,1973.0,27.82191780821918,0,1.0,0.0,0.0,1.0
2,1,1,23,0,2,1974.0,33.441095890410956,0,1.0,0.0,0.0,1.0
3,0,4,40,0,2,1974.0,22.350684931506848,0,1.0,0.0,0.0,1.0
4,1,1,7,1,2,1980.0,21.945205479452056,0,1.0,0.0,0.0,1.0
5,1,1,22,0,2,1962.0,19.27123287671233,0,1.0,0.0,0.0,1.0
6,1,1,22,1,2,1969.0,19.156164383561645,1,1.0,0.0,0.0,1.0
7,1,1,126,1,2,1981.0,18.887671232876713,0,1.0,0.0,0.0,1.0
8,0,1,23,1,2,1974.0,17.5972602739726,0,0.0,1.0,0.0,1.0
9,1,1,41,0,2,1967.0,15.597260273972603,0,1.0,0.0,0.0,1.0
10,1,1,42,0,3,1976.0,14.693150684931506,0,1.0,0.0,0.0,1.0
11,1,3,7,1,2,1986.0,16.17808219178082,0,0.0,1.0,0.0,1.0
12,1,1,24,0,2,1975.0,14.005479452054795,0,1.0,0.0,0.0,1.0
13,1,1,43,0,2,1984.0,15.147945205479452,0,1.0,0.0,0.0,1.0
14,1,1,44,0,2,1973.0,14.136986301369863,0,1.0,0.0,0.0,1.0
15,0,1,45,0,3,1963.0,10.75068493150685,0,0.0,1.0,1.0,0.0
16,1,1,46,0,2,1981.0,12.416438356164383,0,1.0,0.0,1.0,0.0
17,1,1,35,1,2,1990.0,12.191780821917808,0,1.0,0.0,1.0,0.0
18,1,1,7,1,2,1961.0,11.783561643835617,0,1.0,0.0,1.0,0.0
19,1,5,48,1,2,1982.0,11.169863013698631,1,0.0,1.0,1.0,0.0
20,1,1,33,0,2,1965.0,11.12054794520548,0,1.0,0.0,1.0,0.0
21,1,1,27,0,2,1991.0,10.942465753424658,0,0.0,1.0,1.0,0.0
22,1,1,24,1,2,1978.0,10.931506849315069,0,1.0,0.0,1.0,0.0
23,1,5,22,1,2,1982.0,10.8,1,1.0,0.0,1.0,0.0
